Sample_name,Locus,Hash,nReads
1003.4,16S_Prey,1743f8eaf67cde48a163da36605a8901790090ac,788
1003.4,16S_Prey,9c9a29499030c39f474ca37c50e7132f298e9958,637
1003.4,16S_Prey,d3056655cdf43b6d31d8ef85bd94d9fbdf3f94cd,181
1003.4,16S_Prey,924a1afa1a137685c33261a4beba6a3c6b334e0a,280
1003.4,16S_Prey,d16946209d740efffdc258091dfdb82a577921e8,109
1003.4,16S_Prey,7add40f0e4e5f7445283242b0cee5a603eff1fab,1564
1003.4,16S_Prey,016017422aad96fb0e46701638f7197a9f953344,16
1003.4,16S_Prey,0c362ea93d79119d8ebf7bc899e9284a542b4202,233
1003.4,16S_Prey,a73c6530430efb4bc0a4f1b1c4f1abb46f5f7951,119
1003.4,16S_Prey,4f4c4ac6c8764b45e802186214c7804d7f022885,81
1003.4,16S_Prey,0b5d901a8c2080383f41d58667cd2b87a24c086b,77
1003.4,16S_Prey,10ba8c9bfd7fe47f087ec1a6749164b541433857,54
1004.1,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,76
1004.1,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,800
1004.1,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,372
1004.1,16S_Prey,09634633b62eea664914842a286ee6c7ee969234,173
1004.1,16S_Prey,78bc87be1cb86ffd6ebb028518571db3bade8e4c,5
1004.1,16S_Prey,9bfc8673f3bea00b9682a4562234d365b5a42b6b,137
1004.1,16S_Prey,9c648d59b704b96753de74bf21d4bec0dd4d1d96,269
1004.1,16S_Prey,a2ff6ec20938402b2fcf2696db11a1fc7bfbc595,2
1004.2,16S_Prey,42737cd65bab38b57ea8949256ab1dbc59f5d054,172
1004.2,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,756
1004.2,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,1588
1004.2,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,820
1004.2,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,975
1004.2,16S_Prey,7edc82ae907368e2ba93f8d04552ca58def53f5b,301
1004.2,16S_Prey,7818bdd7939aa411e9b402022f9eab34020aa16b,795
1004.2,16S_Prey,09634633b62eea664914842a286ee6c7ee969234,281
1004.2,16S_Prey,74066494c72c1695219c035c049f10e696375826,164
1004.2,16S_Prey,9bfc8673f3bea00b9682a4562234d365b5a42b6b,1591
1004.2,16S_Prey,283c8023e0bc2e4eb1631a62884dbb375bdfdfa6,579
1004.2,16S_Prey,99556b5f607948be9fdc3921655d9da0939a58a6,1045
1004.2,16S_Prey,82fcaaa4c7d84a579578cf4e5b1d09743df86203,1423
1004.2,16S_Prey,c4171e68e8ee8a85b229db5025a8ccdbaf7812b8,359
1004.2,16S_Prey,f52bf7011c02b0d125d7ffb3f403c9e1f0349acd,162
1004.3,16S_Prey,394941fe61578579e0311cf90225a8cdce9c63c9,7755
1004.3,16S_Prey,7de221449042e1da583f638bbc7dd6e0a353c851,1530
1004.3,16S_Prey,be9c3394b1617d1f252b55cfbc5d1bf95701e4cd,1918
1004.3,16S_Prey,5dd046e872a3d4a2d69e5d74a88f680516715f9f,1247
1004.3,16S_Prey,e71684194a2a061ff7daa95baf0472a01cda855b,64
1004.3,16S_Prey,c8049f8ff74e387f0186c4a0403c77a9904680ec,2476
1004.3,16S_Prey,760fc3cb05911cd49affeee1052ade0166c54bc9,2396
1004.3,16S_Prey,6e82711d6515a0aec2808ae8be7d99113f3f5f64,1937
1004.3,16S_Prey,1e89e17d703adb95dc75f153882024f2b77a19e3,208
1004.3,16S_Prey,2dc7b1c32e68a132f7b42b1acaf4aa5680d5f381,264
